Age_Group,N,Actual_Mean,Predicted_Mean,MAE,Mean_BioAge_Gap
0-17,912,14.571271929824562,25.924942689468615,12.905046655392155,11.353670759644052
18-29,1187,22.887952822240944,37.18131968074818,14.359867550034908,14.29336685850724
30-44,1425,37.00491228070175,42.91592515276604,7.838354965446585,5.911012872064294
45-59,1352,51.92677514792899,47.666725596046675,8.330606273278942,-4.2600495518823225
60-74,1439,66.27519110493398,50.76854668416018,16.719804968889697,-15.506644420773801
75+,314,77.71337579617834,53.71449041047431,24.231536122244563,-23.99888538570403
