Age_Group,N,Actual_Mean,Predicted_Mean,MAE,Mean_BioAge_Gap
0-17,912,14.571271929824562,20.244816,6.829142435078035,5.673543308387723
18-29,1187,22.887952822240944,30.42228,8.7399559266043,7.534328076250933
30-44,1425,37.00491228070175,40.59586,7.814202819288822,3.5909471746076616
45-59,1352,51.92677514792899,50.09789,7.311922876087166,-1.8288850572687634
60-74,1439,66.27519110493398,57.826218,9.439893530341301,-8.44897427005516
75+,314,77.71337579617834,61.54076,16.291134330117778,-16.17261693432073
