Age_Group,N,Actual_Mean,Predicted_Mean,MAE,Mean_BioAge_Gap
0-17,912,14.571271929824562,20.750053,7.582523793504949,6.178782655481706
18-29,1187,22.887952822240944,31.513144,9.59371631448773,8.625190663357793
30-44,1425,37.00491228070175,41.05832,8.13832296003375,4.053406216805441
45-59,1352,51.92677514792899,50.082203,7.631239600435516,-1.8445691244136653
60-74,1439,66.27519110493398,56.997074,10.31983788034997,-9.278118246209713
75+,314,77.71337579617834,60.861526,16.944561642446335,-16.851850211999977
