Age_Group,N,Actual_Mean,Raw_BioAge_Mean,Calibrated_BioAge_Mean,Raw_MAE,Calibrated_MAE,Raw_Mean_Gap,Calibrated_Mean_Gap
0-17,438,14.534246575342467,20.487505,20.724936,7.003843340155196,7.057101939911167,5.953258063695202,6.1906874038313076
18-29,595,23.008403361344538,30.479162,30.55647,8.646629650853262,8.646337970765698,7.470758297062722,7.548065336211389
30-44,683,36.972181551976576,40.62818,40.542843,8.079344647520632,7.944967995974539,3.6559993972890026,3.5706621870987587
45-59,699,51.871244635193136,49.663994,49.43385,7.370926268963684,7.296728977317974,-2.2072516674647513,-2.4373931175308337
60-74,735,66.3061224489796,57.925632,57.56309,9.342636157704048,9.54732537042527,-8.38049157330779,-8.743030706392664
75+,165,77.71515151515152,61.37078,60.95303,16.406758371988932,16.8073090986772,-16.344369345000295,-16.76211903889974
