Model,Path,MAE,RMSE,R2,Pearson_r,Gap_mean,Gap_SD,N_test
XGB (new),/home/kundanjangale/Vital-Age/model/xgboost/xgb_model.pkl,6.673611086025873,8.583052857016575,0.7911907609087042,0.8895340937146924,-0.0061511259505091,8.583050652885017,11929
LGB (new),/home/kundanjangale/Vital-Age/model/lightgbm/lgb_model.pkl,6.708825789840963,8.6120279204928,0.7897785656368673,0.8887411862765651,0.008906990066669281,8.612023314464231,11929
RF (new),/home/kundanjangale/Vital-Age/model/random_forest/rf_model.pkl,7.518249373778258,9.571581654677678,0.7403229588720279,0.8612884414484951,0.014498722557105548,9.5715706735732,11929
