,0
Systolic_BP,0.5517080262305166
WHtR,0.0926728053650871
Waist,0.07045265165914819
LBXSBU,0.02968512754915624
LBXGH,0.028785047986151148
log_LBXGH,0.02754309154508268
LBXTC,0.009909970489043957
URDACT,0.008820305639810434
Alcohol_days,0.00799381582870492
Exercise_days,0.007169215643153467
scr_albumin_ratio,0.006727099792376465
LBXSGL,0.005745078842473152
LBXSATSI,0.00565991581379645
LBXRBCSI,0.005533992130278236
LBXMCVSI_sq,0.005418856743793958
LBXMCVSI,0.005107836419459891
URXCRS,0.004960824108257519
LBXSOSSI,0.004590254384973464
LBDLYMNO,0.004574081005691723
LBXPLTSI,0.004549560443717914
BMI,0.0042805790034326895
chol_ratio,0.004271669261544552
LBXSCH,0.004207769331675802
LBXSLDSI,0.004205229905910262
URXUCR,0.004106631198165135
LBXSGTSI,0.003799178345847134
Weight,0.0037814577535744158
non_hdl,0.0036705795689782046
LBXMCHSI,0.0036517787321040476
LBXMOPCT,0.0035914240762180355
LBXSCA,0.003287277783061059
Height,0.0032564481088800216
LBXSCK,0.00299989294064337
LBDHDD,0.0027349290691559176
LBXSPH,0.002695544251113624
LBXSTP,0.0026393035441597446
LBXSAL,0.002552100093393784
LBXSC3SI,0.0021855637500454877
LBXEOPCT,0.0020954349859104923
LBXSIR,0.0020818488480498012
glycation_gap,0.0020426471541522555
LBXSAPSI,0.0019297844438248208
LBXSUA,0.0019230784539054622
log_LBXSAPSI,0.0017995850974600208
LBXRDW,0.0016923116896463259
LBXSASSI,0.0016734068127448355
URXUMS,0.0016465932113562782
LBXSKSI,0.0015889671969959189
LBDNENO,0.001565242967064615
LBXRDW_sq,0.0015488628354669305
URXUMA,0.001547999732505653
LBXHCT,0.001533359172068711
LBXMPSI,0.0015332041902781383
LBXNEPCT,0.0015224109683715033
LBXHGB,0.0014973916442749212
LBXLYPCT,0.0014752937662249703
LBXMC,0.0014738715272529287
NLR_proxy,0.001449238727669287
inflam_score,0.0014492350351744314
LBXBAPCT,0.001342591365211926
log_LBXWBCSI,0.001292330657131926
LBXWBCSI,0.0012903013146601315
LBXSGB,0.0012873485815699734
LBXSCLSI,0.0012649980617518766
LBXSCR,0.0011365557324381427
LBXSTB,0.0010371766824803686
log_LBXSCR,0.0009763051622191485
Smoking_status_Former,0.0009758083492630554
LBDMONO,0.0007295021407968899
LBXSNASI,0.0006939244148288912
LBXGLU,0.0006513857077367702
log_LBXGLU,0.0005976787443255612
log_CRP,0.0005145881834296642
CRP,0.0005047928136571253
Smoking_status_Never,0.0004779044754963767
LBDEONO,0.0003515029051635062
Gender,0.000280621908863525
